customer_id,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,snapshot_date,credit_history_age
cus_0x1009,,,,,,4,"not specified, home equity loan, credit-builder loan, payday loan",,18,9.73,,unknown,202.68,,yes,,58.66019164829086,high_spent_medium_value_payments,508.01234122645366,2025-01-01,
cus_0x1011,58918.47,,,,,3,"student loan, credit-builder loan, debt consolidation loan",,13,14.42,,standard,473.14,,yes,,383.35084463651407,low_spent_medium_value_payments,294.1014665671429,2023-11-01,
cus_0x1013,98620.98,,,,,3,"student loan, debt consolidation loan, personal loan",,9,1.33,,good,1233.51,,no,,332.3337079767732,high_spent_medium_value_payments,485.8897083704929,2023-12-01,
cus_0x102e,50807.44,,,,,3,"mortgage loan, not specified, home equity loan",,9,2.6,,unknown,869.59,,nm,,65.27556452739218,high_spent_medium_value_payments,515.7598495584575,2024-04-01,
cus_0x1032,60410.94,,,,,4,"student loan, home equity loan, not specified, payday loan",,9,10.65,,standard,1852.86,,yes,,481.4927768814807,unknown,176.00533573585616,2023-08-01,
cus_0x103e,98690.8,,,,,1,student loan,,17,10.76,,good,706.96,,no,,913.4813186573292,low_spent_small_value_payments,147.7376071067124,2024-12-01,
cus_0x1044,33441.59,,,,,0,"",,4,9.58,,unknown,154.96,,no,,229.53226071473443,low_spent_small_value_payments,335.34765595193227,2023-06-01,
cus_0x104f,11336.835,,,,,4,"auto loan, payday loan, student loan, personal loan",,19,16.44,,unknown,177.98,,nm,,133.79735014337106,low_spent_small_value_payments,219.91354399412685,2024-10-01,
cus_0x1051,35022.22,,,,,1,student loan,,11,,,good,1000.44,,no,,259.34511343711983,low_spent_small_value_payments,295.39214344389296,2024-01-01,
cus_0x105c,127617.6,,,,,3,"not specified, mortgage loan, payday loan",,6,12.22,,good,542.91,,no,,,high_spent_medium_value_payments,861.6006703641515,2023-06-01,
