customer_id,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,type_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance,snapshot_date,credit_history_age
cus_0x1000,30625.94,,,,,2,"credit-builder loan, home equity loan",,26,1.63,,bad,1562.91,,yes,,77.31427572208112,high_spent_medium_value_payments,400.36080052211616,2023-05-01,
cus_0x100b,113781.38999999998,,,,,0,"",,8,8.34,,good,1030.2,,no,,617.0792665202719,high_spent_small_value_payments,597.8989834797281,2024-03-01,
cus_0x1015,46951.02,,,,,0,"",,9,15.83,,standard,340.22,,nm,,437.4339945818671,low_spent_small_value_payments,225.12450541813288,2023-08-01,
cus_0x1018,61194.81,,,,,6,"credit-builder loan, payday loan, home equity loan, not specified, student loan, personal loan",,22,28.63,,bad,2773.09,,yes,,166.53062988488216,high_spent_medium_value_payments,359.55742873867035,2023-11-01,
cus_0x1026,170614.28,,,,,2,"payday loan, auto loan",,5,0.73,,good,849.69,,no,,184.27787149576235,high_spent_medium_value_payments,1303.2003157888887,2023-10-01,
cus_0x102d,89064.52,,,,,1,mortgage loan,,5,6.37,,unknown,648.36,,no,,296.09411909412466,high_spent_medium_value_payments,641.9374636584146,2024-01-01,
cus_0x1037,15989.085,,,,,3,"credit-builder loan, auto loan, mortgage loan",,15,0.5,,good,665.82,,no,,80.46523951443457,low_spent_small_value_payments,284.3801148556844,2023-01-01,
cus_0x1038,129473.16,,,,,2,"payday loan, home equity loan",,13,8.61,,standard,568.21,,yes,,1088.2714495635144,low_spent_medium_value_payments,32.34364544550715,2024-10-01,
cus_0x1041,8978.11,,,,,5,"payday loan, mortgage loan, home equity loan, not specified, student loan",,17,18.48,,bad,4913.15,,yes,,43.56585814621352,high_spent_small_value_payments,248.1720672803001,2023-11-01,
cus_0x1048,42387.54,,,,,5,"personal loan, not specified, home equity loan, debt consolidation loan, payday loan",,8,10.34,,standard,1835.67,,yes,,133.51336229583663,high_spent_small_value_payments,268.6327687336854,2024-02-01,
